,model_name,model_path,validation_acc,test_acc
0,bert_baseline_hw5_20210612092832,model_exploration/model_results/bert_baseline_hw5_20210612092832,0.7016520641520642,0.6692307692307693
1,bert_baseline_hw5_20210612093845,model_exploration/model_results/bert_baseline_hw5_20210612093845,0.7131645381645383,0.6576923076923077
2,bert_baseline_hw5_25_epochs_20210612094657,model_exploration/model_results/bert_baseline_hw5_25_epochs_20210612094657,0.7131942381942382,0.7115384615384616
3,bert_baseline_deep_20210612095942,model_exploration/model_results/bert_baseline_deep_20210612095942,0.6862377487377488,0.6576923076923077
4,bert_baseline_deep_20210612100858,model_exploration/model_results/bert_baseline_deep_20210612100858,0.6824027324027324,0.65
5,bert_baseline_deep_20210612102539,model_exploration/model_results/bert_baseline_deep_20210612102539,0.733408820908821,0.6961538461538462
6,bert_baseline_hw5_headline_3sent_20210612104311,model_exploration/model_results/bert_baseline_hw5_headline_3sent_20210612104311,0.7246955746955748,0.6807692307692308
7,bert_baseline_hw5_headline_3sent_20210612105742,model_exploration/model_results/bert_baseline_hw5_headline_3sent_20210612105742,0.7459013959013959,0.6692307692307693
8,bert_baseline_hw5_headline_presum_25_200_20210712212031,model_exploration/model_results/bert_baseline_hw5_headline_presum_25_200_20210712212031,0.7651433026433028,0.7384615384615385
9,x_bert_baseline_hw5_headline_presum_15_200_20210712215159,model_exploration/model_results/x_bert_baseline_hw5_headline_presum_15_200_20210712215159,0.7016669141669141,0.6884615384615385
10,x_bert_baseline_hw5_google_15_200_20210712215801,model_exploration/model_results/x_bert_baseline_hw5_google_15_200_20210712215801,0.4427086427086427,0.3961538461538462
11,x_bert_baseline_hw5_headline_google_15_200_20210712222148,model_exploration/model_results/x_bert_baseline_hw5_headline_google_15_200_20210712222148,0.7295552420552421,0.75
12,x_bert_baseline_hw5_presum_15_200_20210712223818,model_exploration/model_results/x_bert_baseline_hw5_presum_15_200_20210712223818,0.5197171072171072,0.5423076923076924
13,x_bert_baseline_hw5_autocaption_15_200_20210712224917,model_exploration/model_results/x_bert_baseline_hw5_autocaption_15_200_20210712224917,0.4359778734778735,0.4923076923076923
14,x_bert_deep_headline_15_200_20210712231952,model_exploration/model_results/x_bert_deep_headline_15_200_20210712231952,0.7189449064449064,0.726923076923077
15,x_bert_baseline_hw5_headline_autocaption_15_200_20210712231540,model_exploration/model_results/x_bert_baseline_hw5_headline_autocaption_15_200_20210712231540,0.7237934362934364,0.7153846153846154
16,multimodal_headline_google_20210712234643,model_exploration/model_results/multimodal_headline_google_20210712234643,0.8930056430056429,0.6615384615384616
17,x_bert_deep_headline_15_200_20210712233818,model_exploration/model_results/x_bert_deep_headline_15_200_20210712233818,0.7103096228096228,0.7423076923076923
18,x_bert_deep_headline_15_200_20210812094056,model_exploration/model_results/x_bert_deep_headline_15_200_20210812094056,0.7102799227799229,0.6076923076923078
19,rebal_bert_baseline_headline_15_200_20210812112246,model_exploration/model_results/rebal_bert_baseline_headline_15_200_20210812112246,0.7574844074844075,0.7692307692307693
20,rebal_bert_baseline_headline_google_15_200_20210812114620,model_exploration/model_results/rebal_bert_baseline_headline_google_15_200_20210812114620,0.7209013959013959,0.7115384615384616
